dataset,association,array,input_components,success,failure_reason,run_mode,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\notch_stress.vtk,CELL,benchmark_cubic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,13.3405,0.4056,0.0448552,0.041288,2192,3,ANALYTIC:benchmark_cubic_exact_grad,2192,3,2192,2192,0,1180,0.538321,0.000528128,0.000976884,0.0064871,0.0197878,0.0514433,0.049368,0.000989391,0.0502713,0.0305555,0.112258,1012,0.0011183,0.00143708,0.0829854,0.0683828,0.14961,5.50364,9.60509,2192,0.986134,2166,0,0.0064871,0.0562386,0,0,1,ANALYTIC:benchmark_cubic_exact_grad [intrinsic],2192,3,2192,2192,0,1180,0.538321,0.000525447,0.000970672,0.00548779,0.0197876,0.0512083,0.0490545,0.000989381,0.0486301,0.0276791,0.11156,1012,0.00111587,0.00142805,0.0828416,0.0683828,0.14961,5.45925,10.9417,2192,0.986143,2166,0,0.00548779,0.0562223
Data\notch_stress.vtk,CELL,benchmark_gaussian,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.41358,0.3962,0.042276,0.041288,2192,3,ANALYTIC:benchmark_gaussian_exact_grad,2192,3,2192,2192,0,8,0.00364964,0.0762637,0.0813871,0.160541,1.11545,0.0964835,0.0729636,0.0557725,0.245093,0.179501,0.555734,2184,0.0763462,0.0814711,0.242461,0.179233,0.547263,14.706,33.5004,2192,0.991357,1778,0,0.160541,0.599752,0,0,1,ANALYTIC:benchmark_gaussian_exact_grad [intrinsic],2192,3,2192,2192,0,24,0.0109489,0.075274,0.0803769,0.159458,1.11507,0.0957122,0.0720822,0.0557536,0.262304,0.179501,0.65825,2168,0.0755179,0.0806262,0.254638,0.178807,0.644887,16.0971,41.0888,2192,0.991466,1778,0,0.159458,0.597471
Data\notch_stress.vtk,CELL,benchmark_linear,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.49818,0.3662,0.0431704,0.042016,2192,3,ANALYTIC:benchmark_linear_exact_grad,2192,3,2192,2192,0,0,0,0.118422,0.46932,2.2044,2.47487,0.0478498,0.189634,0.123744,0.0478498,0.000616848,0.00103916,2192,0.118422,0.46932,0.0478498,0.000616848,0.00103916,3.12244,0.0267914,2192,0.963552,1686,0,2.2044,2.47487,0,0,1,ANALYTIC:benchmark_linear_exact_grad [intrinsic],2192,3,2192,2192,0,0,0,0.0946559,0.427116,2.13043,2.41592,0.0392585,0.176792,0.120796,0.0387392,0.000615974,0.00103636,2192,0.0946559,0.427116,0.0387392,0.000615974,0.00103636,2.51454,0.0266594,2192,0.9683,2125,0,2.13043,2.47487
Data\notch_stress.vtk,CELL,benchmark_quadratic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.42766,0.3794,0.0422968,0.04004,2192,3,ANALYTIC:benchmark_quadratic_exact_grad,2192,3,2192,2192,0,174,0.0793796,0.00537865,0.00836317,0.0611733,0.166832,0.0487198,0.0501294,0.00834159,0.0901977,0.0650115,0.168569,2018,0.00571823,0.00870591,0.0830874,0.0607866,0.140168,5.19263,9.92606,2192,0.991897,2166,0,0.0611733,0.398172,0,0,1,ANALYTIC:benchmark_quadratic_exact_grad [intrinsic],2192,3,2192,2192,0,266,0.12135,0.00522763,0.00810976,0.0468893,0.166792,0.0475307,0.048622,0.0083396,0.0826449,0.064341,0.168442,1926,0.00575511,0.00863567,0.0707353,0.0586185,0.131896,5.19261,11.0724,2192,0.992006,1209,0,0.0468893,0.335064
Data\notch_stress.vtk,CELL,benchmark_trig,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.41718,0.3536,0.0433472,0.040924,2192,3,ANALYTIC:benchmark_trig_exact_grad,2192,3,2192,2192,0,0,0,0.0564958,0.202019,1.4494,3.14449,0.0179911,0.0642453,0.157224,0.018435,0.00102213,0.0115779,2192,0.0564958,0.202019,0.018435,0.00102213,0.0115779,1.04311,0.556091,2192,0.995756,368,0,1.4494,3.23831,0,0,1,ANALYTIC:benchmark_trig_exact_grad [intrinsic],2192,3,2192,2192,0,0,0,0.0434911,0.168138,0.828102,3.10628,0.0140415,0.0541285,0.155314,0.0143701,0.000989083,0.0109867,2192,0.0434911,0.168138,0.0143701,0.000989083,0.0109867,0.804381,0.53405,2192,0.99698,2126,0,0.828102,2.7704
Data\notch_stress.vtk,CELL,benchmark_vec_linear,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.75834,0.5001,0.111488,0.106288,2192,9,ANALYTIC:benchmark_vec_linear_exact_grad,2192,9,6576,6576,0,0,0,0.0363822,0.161374,1.18716,1.10303,0.0333498,0.146301,0.0551513,0.0321521,0.000455267,0.000934101,6576,0.0363822,0.161374,0.0321521,0.000455267,0.000934101,2.01896,0.0233571,6576,0.97812,715,1,1.18716,1.27279,0,0,1,ANALYTIC:benchmark_vec_linear_exact_grad [intrinsic],2192,9,6576,6576,0,0,0,0.0255243,0.129902,0.965471,1.05748,0.0245601,0.122842,0.0528739,0.0230441,0.000448518,0.000914331,6576,0.0255243,0.129902,0.0230441,0.000448518,0.000914331,1.3978,0.0229624,6576,0.984436,1845,2,0.965471,1.1225
Data\notch_stress.vtk,CELL,benchmark_vec_poly,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.5959,0.4531,0.111592,0.104884,2192,9,ANALYTIC:benchmark_vec_poly_exact_grad,2192,9,6576,6576,0,1332,0.202555,0.00377042,0.00696275,0.0693159,0.0981272,0.0775531,0.0709564,0.00490636,0.213344,0.0690606,0.763961,5244,0.00415029,0.00766398,0.149761,0.0607179,0.486907,13.6505,51.2455,6576,0.990124,2126,2,0.0693159,0.0695291,0,0,1,ANALYTIC:benchmark_vec_poly_exact_grad [intrinsic],2192,9,6576,6576,0,1510,0.229623,0.00364232,0.00672384,0.0693159,0.0980769,0.0755029,0.0685568,0.00490385,0.206601,0.0670783,0.76419,5066,0.00412412,0.00751739,0.145045,0.0606317,0.463902,13.429,45.8557,6576,0.990426,2126,2,0.0693159,0.0695291
Data\notch_stress.vtk,CELL,benchmark_vec_trig,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,2,1,0.393706,0.0945072,0.005,0.0546745,0.000920648,0.0168387,0,426,1766,0.56116,0.4504,0.108181,0.097396,2192,9,ANALYTIC:benchmark_vec_trig_exact_grad,2192,9,6576,6576,0,0,0,0.037388,0.16846,1.44883,1.89659,0.0234679,0.0888228,0.0948293,0.0377734,0.00177428,0.0151954,6576,0.037388,0.16846,0.0377734,0.00177428,0.0151954,2.77815,0.462817,6576,0.991934,368,0,1.44883,3.14123,0,0,1,ANALYTIC:benchmark_vec_trig_exact_grad [intrinsic],2192,9,6576,6576,0,8,0.00121655,0.0313591,0.151304,0.942705,1.87488,0.0199114,0.0807005,0.093744,0.0362409,0.00170313,0.0133214,6568,0.0312411,0.15131,0.0346189,0.00169962,0.0132799,2.56646,0.417156,6576,0.99334,2127,2,0.942705,0.976017
