dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\SampleStructGrid.vtk,POINT,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,3.27114,1.0669,0.0424008,0.0403,3.27114,1.0669,0.0424008,0.0403,24000,3,ANALYTIC:benchmark_cubic_exact_grad,24000,3,24000,24000,0,382,0.0159167,,0,0,0,0,0,0,0.00415208,0.00588802,0.0283045,0.181254,0.0276827,0.0324849,0.00906271,0.0329992,0.0272854,0.0635267,23618,0.00420795,0.00593461,0.0322881,0.0268596,0.0622535,1.01807,2.27398,24000,0.988333,598,0,0.0283045,0.393324,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.03224,0.8647,0.0420888,0.039364,1.03224,0.8647,0.0420888,0.039364,24000,3,ANALYTIC:benchmark_gaussian_exact_grad,24000,3,24000,24000,0,0,0,,0,0,0,0,0,0,0.0395552,0.0455787,0.194632,1.89242,0.0219012,0.0240849,0.094621,0.023999,0.0196921,0.0411247,24000,0.0395552,0.0455787,0.023999,0.0196921,0.0411247,0.963997,1.73791,24000,0.997727,11089,0,0.194632,0.652188,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.30298,0.4964,0.0404976,0.03848,1.30298,0.4964,0.0404976,0.03848,24000,3,ANALYTIC:benchmark_linear_exact_grad,24000,3,24000,24000,0,0,0,,0,0,0,0,0,0,5.26891e-07,6.9801e-07,8.43948e-06,2.47487,2.12896e-07,2.82038e-07,0.123744,2.12896e-07,1.59755e-07,4.31499e-07,24000,5.26891e-07,6.9801e-07,2.12896e-07,1.59755e-07,4.31499e-07,8.87085e-06,1.95624e-05,24000,1,22219,0,8.43948e-06,2.47487,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,0.58658,0.4701,0.0404768,0.037804,0.58658,0.4701,0.0404768,0.037804,24000,3,ANALYTIC:benchmark_quadratic_exact_grad,24000,3,24000,24000,0,5,0.000208333,,0,0,0,0,0,0,0.00899963,0.010569,0.043709,0.626231,0.0157793,0.0168772,0.0313116,0.0200839,0.0153508,0.0376903,23995,0.00900033,0.0105697,0.0200507,0.0153487,0.0376706,0.748158,1.58629,24000,0.995824,598,0,0.043709,0.968229,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.08508,0.6589,0.0423696,0.039936,1.08508,0.6589,0.0423696,0.039936,24000,3,ANALYTIC:benchmark_trig_exact_grad,24000,3,24000,24000,0,0,0,,0,0,0,0,0,0,0.03081,0.0404861,0.174751,2.51061,0.0129162,0.016126,0.12553,0.0182592,0.00995073,0.0349846,24000,0.03081,0.0404861,0.0182592,0.00995073,0.0349846,0.851128,1.6414,24000,0.998827,125,0,0.174751,1.23141,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.03564,0.7573,0.0851032,0.083668,1.03564,0.7573,0.0851032,0.083668,24000,9,ANALYTIC:benchmark_vec_linear_exact_grad,24000,9,72000,72000,0,0,0,,0,0,0,0,0,0,2.80262e-07,3.6428e-07,4.8607e-06,1.10303,2.56902e-07,3.30256e-07,0.0551513,2.60767e-07,1.98682e-07,5.28651e-07,72000,2.80262e-07,3.6428e-07,2.60767e-07,1.98682e-07,5.28651e-07,1.11774e-05,2.4597e-05,72000,1,1799,1,4.8607e-06,1.27279,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_vec_poly,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,3.5236,1.0579,0.172942,0.085176,3.5236,1.0579,0.172942,0.085176,24000,9,ANALYTIC:benchmark_vec_poly_exact_grad,24000,9,72000,72000,0,606,0.00841667,,0,0,0,0,0,0,0.00572426,0.0075953,0.0368304,0.389647,0.0186097,0.0194928,0.0194824,0.03276,0.0184062,0.070066,71394,0.00573222,0.00760968,0.030953,0.0181916,0.0673805,0.924049,1.92452,72000,0.995053,23553,0,0.0368304,0.945048,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,benchmark_vec_trig,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.27154,0.8344,0.0878072,0.084032,1.27154,0.8344,0.0878072,0.084032,24000,9,ANALYTIC:benchmark_vec_trig_exact_grad,24000,9,72000,72000,0,0,0,,0,0,0,0,0,0,0.0154867,0.0242867,0.173492,1.55771,0.0113448,0.0155913,0.0778855,0.0195157,0.00754329,0.0317066,72000,0.0154867,0.0242867,0.0195157,0.00754329,0.0317066,0.634794,1.07084,72000,0.999023,125,0,0.173492,0.400619,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\SampleStructGrid.vtk,POINT,scalars,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.984973,0.734991,0.48499,0.562249,0.249621,0.443969,0,8,23992,1.16324,0.4581,0.040144,0.03718,1.16324,0.4581,0.040144,0.03718,24000,3,VTK,24000,3,24000,24000,0,0,0,STDThread,1,16,10.376,7.5857,3.76256,3.4406,7.12407e-08,8.39238e-08,3.63784e-07,1.02043,7.01208e-08,8.22437e-08,0.0510214,7.02685e-08,6.61517e-08,1.27256e-07,24000,7.12407e-08,8.39238e-08,7.02685e-08,6.61517e-08,1.27256e-07,1.90225e-06,3.72151e-06,24000,1,4520,0,3.63784e-07,1.21861,3.76256,3.4406,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
