dataset,association,array,input_components,success,failure_reason,run_mode,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\hexa.vtk,CELL,benchmark_cubic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,3.3209,0.8595,0.107401,0.102544,10648,3,ANALYTIC:benchmark_cubic_exact_grad,10648,3,10648,10648,0,88,0.00826446,0.032002,0.0662006,0.236981,0.197409,0.183078,0.335347,0.00987047,0.126655,0.0117862,0.520171,10560,0.0322585,0.0664757,0.126685,0.0116473,0.520703,4.24893,19.1056,10648,0.797432,21,0,0.236981,0.435427,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_gaussian,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.07944,0.9078,0.106007,0.103532,10648,3,ANALYTIC:benchmark_gaussian_exact_grad,10648,3,10648,10648,0,0,0,0.0797459,0.147897,0.750835,1.50499,0.0596935,0.0982713,0.0752495,0.0975384,0.0178523,0.370103,10648,0.0797459,0.147897,0.0975384,0.0178523,0.370103,3.99518,17.4076,10648,0.963872,5312,0,0.750835,1.58152,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_linear,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.23126,1.0288,0.106288,0.103428,10648,3,ANALYTIC:benchmark_linear_exact_grad,10648,3,10648,10648,0,0,0,0.173565,0.373101,1.23745,2.47487,0.0701308,0.150756,0.123744,0.0701308,7.59602e-06,0.252541,10648,0.173565,0.373101,0.0701308,7.59602e-06,0.252541,3.53882,14.0271,10648,0.954545,10647,0,1.23745,2.47487,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_quadratic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.09524,0.9266,0.107058,0.104624,10648,3,ANALYTIC:benchmark_quadratic_exact_grad,10648,3,10648,10648,0,0,0,0.0731042,0.165974,0.603396,0.640694,0.122767,0.259053,0.0320347,0.0939819,7.44795e-06,0.473713,10648,0.0731042,0.165974,0.0939819,7.44795e-06,0.473713,3.59712,16.8639,10648,0.871697,10647,0,0.603396,1.15447,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_trig,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,0.97718,0.906,0.106652,0.103532,10648,3,ANALYTIC:benchmark_trig_exact_grad,10648,3,10648,10648,0,0,0,0.0888028,0.240037,0.795692,2.58054,0.0359947,0.093018,0.129027,0.0395019,0.00310698,0.14887,10648,0.0888028,0.240037,0.0395019,0.00310698,0.14887,1.88056,7.32456,10648,0.979595,483,0,0.795692,1.61743,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_vec_linear,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.28164,1.0086,0.198962,0.19162,10648,9,ANALYTIC:benchmark_vec_linear_exact_grad,10648,9,31944,31944,0,0,0,0.0739937,0.166287,0.636403,1.10303,0.0678263,0.150756,0.0551513,0.0675816,6.92413e-06,0.267264,31944,0.0739937,0.166287,0.0675816,6.92413e-06,0.267264,3.21617,14.7631,31944,0.954545,10647,1,0.636403,1.27279,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_vec_poly,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.47388,1.021,0.197402,0.192712,10648,9,ANALYTIC:benchmark_vec_poly_exact_grad,10648,9,31944,31944,0,134,0.00419484,0.0369227,0.113579,0.545897,0.445489,0.0980095,0.254955,0.0222744,0.0624,7.65431e-06,0.259735,31810,0.0370767,0.113818,0.0625922,7.65113e-06,0.262087,1.76887,7.69765,31944,0.875394,483,0,0.545897,1.04552,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,CELL,benchmark_vec_trig,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,0.913044,0.913044,0.913044,1,1,1,0,8,10640,1.45372,1.0295,0.198338,0.195832,10648,9,ANALYTIC:benchmark_vec_trig_exact_grad,10648,9,31944,31944,0,0,0,0.0488481,0.154731,0.788268,1.57246,0.0364465,0.0984008,0.0786231,0.042062,0.00310648,0.159962,31944,0.0488481,0.154731,0.042062,0.00310648,0.159962,1.55857,7.19743,31944,0.977581,475,1,0.788268,1.55984,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
