dataset,association,array,input_components,success,failure_reason,run_mode,result_source,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,vtk_requested_parallel_threads,vtk_backend_mode,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,result_wall_avg_ms,result_wall_min_ms,result_gpu_avg_ms,result_gpu_min_ms,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_vtk_backend,ambient_vtk_single_threads,ambient_vtk_parallel_threads,ambient_vtk_single_avg_ms,ambient_vtk_single_min_ms,ambient_vtk_parallel_avg_ms,ambient_vtk_parallel_min_ms,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_vtk_backend,intrinsic_vtk_single_threads,intrinsic_vtk_parallel_threads,intrinsic_vtk_single_avg_ms,intrinsic_vtk_single_min_ms,intrinsic_vtk_parallel_avg_ms,intrinsic_vtk_parallel_min_ms,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\hexa.vtk,POINT,benchmark_cubic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,3.0029,1.6554,1.1791,1.10032,3.0029,1.6554,1.1791,1.10032,12167,3,ANALYTIC:benchmark_cubic_exact_grad,12167,3,12167,12167,0,87,0.00715049,,0,0,0,0,0,0,0.00620883,0.0115153,0.038852,0.215827,0.0324913,0.0533543,0.0107913,0.0277855,0.0106058,0.0846397,12080,0.00624481,0.0115562,0.0271753,0.0104802,0.0840839,0.780227,2.35826,12166,0.971214,12166,0,0.038852,0.462868,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_gaussian,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,1.65496,1.5103,1.0934,1.04837,1.65496,1.5103,1.0934,1.04837,12167,3,ANALYTIC:benchmark_gaussian_exact_grad,12167,3,12167,12167,0,25,0.00205474,,0,0,0,0,0,0,0.0237959,0.0367439,0.167634,1.42351,0.0193215,0.0258121,0.0711757,0.0321842,0.00960764,0.116291,12142,0.0238265,0.0367794,0.0319925,0.00960024,0.11534,0.822635,3.22756,12166,0.99506,11902,0,0.167634,0.895996,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_linear,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,2.39868,1.5749,1.16782,1.07786,2.39868,1.5749,1.16782,1.07786,12167,3,ANALYTIC:benchmark_linear_exact_grad,12167,3,12167,12167,0,0,0,,0,0,0,0,0,0,2.83487e-07,3.91025e-07,2.6656e-06,2.47487,1.14546e-07,1.57998e-07,0.123744,1.14546e-07,9.63357e-08,2.59392e-07,12167,2.83487e-07,3.91025e-07,1.14546e-07,9.63357e-08,2.59392e-07,5.0606e-06,1.06978e-05,12167,1,5267,0,2.6656e-06,2.47487,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_quadratic,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,1.70044,1.4737,1.137,1.05388,1.70044,1.4737,1.137,1.05388,12167,3,ANALYTIC:benchmark_quadratic_exact_grad,12167,3,12167,12167,0,3,0.000246569,,0,0,0,0,0,0,0.00636151,0.0146884,0.0498119,0.669876,0.010218,0.0219271,0.0334938,0.00780691,8.45571e-07,0.0397101,12164,0.00636308,0.0146902,0.00780884,8.45788e-07,0.0397103,0.220863,1.03606,12166,0.989423,12166,0,0.0498119,1.20944,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_trig,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,2.9489,1.5773,1.13617,1.08779,2.9489,1.5773,1.13617,1.08779,12167,3,ANALYTIC:benchmark_trig_exact_grad,12167,3,12167,12167,0,0,0,,0,0,0,0,0,0,0.0298515,0.0653248,0.219956,2.54498,0.0123391,0.0256681,0.127249,0.0232823,0.00310672,0.0322885,12167,0.0298515,0.0653248,0.0232823,0.00310672,0.0322885,1.03051,1.84605,12167,0.997393,528,0,0.219956,1.58264,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_vec_linear,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,4.65782,2.9101,1.52947,1.37602,4.65782,2.9101,1.52947,1.37602,12167,9,ANALYTIC:benchmark_vec_linear_exact_grad,12167,9,36501,36501,0,0,0,,0,0,0,0,0,0,1.9988e-07,2.60479e-07,1.87162e-06,1.10303,1.8322e-07,2.36149e-07,0.0551513,1.84253e-07,1.40033e-07,3.65753e-07,36501,1.9988e-07,2.60479e-07,1.84253e-07,1.40033e-07,3.65753e-07,7.64967e-06,1.60182e-05,36501,1,528,2,1.87162e-06,1.1225,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_vec_poly,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,4.56564,2.3331,1.08697,1.04494,4.56564,2.3331,1.08697,1.04494,12167,9,ANALYTIC:benchmark_vec_poly_exact_grad,12167,9,36501,36501,0,215,0.00589025,,0,0,0,0,0,0,0.00283575,0.00996561,0.0434794,0.465779,0.00719973,0.0213956,0.023289,0.00391267,5.8531e-07,6.91735e-06,36286,0.00285255,0.00999509,0.00393583,5.87265e-07,6.7786e-06,0.0448716,0.000277832,36498,0.989929,1586,0,0.0434794,1.09311,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,benchmark_vec_trig,3,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,7.53968,2.8425,1.72283,1.45324,7.53968,2.8425,1.72283,1.45324,12167,9,ANALYTIC:benchmark_vec_trig_exact_grad,12167,9,36501,36501,0,92,0.00252048,,0,0,0,0,0,0,0.0137772,0.0392961,0.213118,1.55236,0.0104694,0.0253137,0.0776181,0.0292876,0.00310666,0.00733004,36409,0.013664,0.0392344,0.0274542,0.00310665,0.00729122,0.902333,0.117969,36501,0.997356,1586,0,0.213118,0.662501,0,0,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\hexa.vtk,POINT,scalars,1,1,,fields,gl,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,0,auto,1,3,3,0,0.956522,0.956522,0.956522,1,1,1,0,0,12167,4.2495,1.7398,1.322,1.10531,4.2495,1.7398,1.322,1.10531,12167,3,VTK,12167,3,12167,12167,0,0,0,STDThread,1,16,184.747,178.606,285.899,284.381,1.02708e-06,1.24782e-06,3.93932e-06,19.8924,5.16345e-08,6.27285e-08,0.994619,5.16076e-08,4.82918e-08,9.86293e-08,12167,1.02708e-06,1.24782e-06,5.16076e-08,4.82918e-08,9.86293e-08,1.79967e-06,3.72151e-06,12167,1,8225,0,3.93932e-06,19.7528,285.899,284.381,0,,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
