dataset,association,array,input_components,success,failure_reason,run_mode,reference_mode,method,reps,adaptive_neighborhood,adaptive_dimension,adaptive_regularization,min_neighbors,target_neighbors,max_neighbors,radius_scale,plane_eigen_ratio,line_eigen_ratio,lambda_amplify,geom_available,geom_topo_dim,geom_global_dim,geom_surface_like,geom_extent_x,geom_extent_y,geom_extent_z,geom_eigen_ratio21,geom_eigen_ratio31,geom_eigen_ratio32,geom_dim1_count,geom_dim2_count,geom_dim3_count,gl_wall_avg_ms,gl_wall_min_ms,gl_gpu_avg_ms,gl_gpu_min_ms,result_tuples,result_components,ambient_reference,ambient_compare_tuples,ambient_compare_components,ambient_raw_vecs,ambient_finite_vecs,ambient_nonfinite_vecs,ambient_low_ref_count,ambient_low_ref_ratio,ambient_abs_mae,ambient_abs_rmse,ambient_abs_max,ambient_ref_rms,ambient_nmae,ambient_nrmse,ambient_softrel_tau,ambient_softrel_mean,ambient_softrel_median,ambient_softrel_p90,ambient_stable_vecs,ambient_stable_abs_mae,ambient_stable_abs_rmse,ambient_stable_softrel_mean,ambient_stable_softrel_median,ambient_stable_softrel_p90,ambient_angle_mean_deg,ambient_angle_p90_deg,ambient_angle_count,ambient_scale_bias,ambient_worst_tuple,ambient_worst_vector,ambient_worst_abs_err,ambient_worst_ref_norm,ambient_ref_time_avg_ms,ambient_ref_time_min_ms,has_intrinsic,intrinsic_reference,intrinsic_compare_tuples,intrinsic_compare_components,intrinsic_raw_vecs,intrinsic_finite_vecs,intrinsic_nonfinite_vecs,intrinsic_low_ref_count,intrinsic_low_ref_ratio,intrinsic_abs_mae,intrinsic_abs_rmse,intrinsic_abs_max,intrinsic_ref_rms,intrinsic_nmae,intrinsic_nrmse,intrinsic_softrel_tau,intrinsic_softrel_mean,intrinsic_softrel_median,intrinsic_softrel_p90,intrinsic_stable_vecs,intrinsic_stable_abs_mae,intrinsic_stable_abs_rmse,intrinsic_stable_softrel_mean,intrinsic_stable_softrel_median,intrinsic_stable_softrel_p90,intrinsic_angle_mean_deg,intrinsic_angle_p90_deg,intrinsic_angle_count,intrinsic_scale_bias,intrinsic_worst_tuple,intrinsic_worst_vector,intrinsic_worst_abs_err,intrinsic_worst_ref_norm
Data\limb.vtk,POINT,benchmark_cubic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,4.2958,4.0191,1.96982,1.7537,10926,3,ANALYTIC:benchmark_cubic_exact_grad,10926,3,10926,10926,0,200,0.018305,0.00346896,0.00549334,0.0343559,0.178687,0.0236925,0.0307429,0.00893433,0.0280632,0.0208126,0.0587139,10726,0.00352138,0.00554346,0.0272136,0.0204388,0.0567756,1.00201,2.14213,10926,0.989383,32,0,0.0343559,0.428494,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_gaussian,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,3.99906,3.4336,1.89945,1.7172,10926,3,ANALYTIC:benchmark_gaussian_exact_grad,10926,3,10926,10926,0,0,0,2.61045e-05,3.20227e-05,0.000157075,0.00128804,0.0216812,0.0248616,6.4402e-05,0.0257282,0.0175936,0.0515875,10926,2.61045e-05,3.20227e-05,0.0257282,0.0175936,0.0515875,0.825943,1.6455,10926,0.996037,6058,0,0.000157075,0.00149222,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_linear,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,2.76244,2.5486,1.8319,1.82265,10926,3,ANALYTIC:benchmark_linear_exact_grad,10926,3,10926,10926,0,0,0,3.02689e-07,3.84752e-07,3.02284e-06,2.47487,1.22305e-07,1.55463e-07,0.123744,1.22305e-07,1.07707e-07,2.35973e-07,10926,3.02689e-07,3.84752e-07,1.22305e-07,1.07707e-07,2.35973e-07,4.94794e-06,1.02985e-05,10926,1,2928,0,3.02284e-06,2.47487,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_quadratic,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,2.75628,2.425,2.02285,1.66156,10926,3,ANALYTIC:benchmark_quadratic_exact_grad,10926,3,10926,10926,0,4,0.000366099,0.00771384,0.00976646,0.0432942,0.579952,0.0146576,0.0168401,0.0289976,0.0182991,0.013122,0.0363802,10922,0.00771439,0.00976751,0.0182272,0.0131068,0.036318,0.730868,1.5866,10926,0.995846,10611,0,0.0432942,0.853352,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_trig,1,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,3.12412,2.9873,1.79962,1.7069,10926,3,ANALYTIC:benchmark_trig_exact_grad,10926,3,10926,10926,0,0,0,0.0266342,0.0391166,0.23356,2.58809,0.0108501,0.0151141,0.129404,0.0173269,0.00749518,0.0322365,10926,0.0266342,0.0391166,0.0173269,0.00749518,0.0322365,0.812125,1.46272,10926,0.998756,322,0,0.23356,0.769642,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_vec_linear,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,7.45246,5.1357,3.72818,3.35083,10926,9,ANALYTIC:benchmark_vec_linear_exact_grad,10926,9,32778,32778,0,0,0,2.08523e-07,2.50108e-07,2.91576e-06,1.10303,1.91143e-07,2.26748e-07,0.0551513,1.91731e-07,1.67917e-07,3.40053e-07,32778,2.08523e-07,2.50108e-07,1.91731e-07,1.67917e-07,3.40053e-07,7.69225e-06,1.48124e-05,32778,1,897,1,2.91576e-06,1.27279,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_vec_poly,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,5.46834,5.0459,3.65432,3.24548,10926,9,ANALYTIC:benchmark_vec_poly_exact_grad,10926,9,32778,32778,0,240,0.00732198,0.00515157,0.00721648,0.0418846,0.3766,0.0171644,0.0191622,0.01883,0.0299225,0.0157917,0.0634343,32538,0.00515834,0.00722837,0.0284847,0.0156519,0.0608303,1.00344,2.05485,32778,0.994997,10828,0,0.0418846,0.991183,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
Data\limb.vtk,POINT,benchmark_vec_trig,3,1,,fields,auto,auto,5,1,1,1,12,20,32,2.5,0.06,0.02,4,1,3,3,0,1416.01,1411.48,1315.49,0.479166,0.218275,0.455532,0,0,10926,6.12932,5.0373,3.23436,2.37624,10926,9,ANALYTIC:benchmark_vec_trig_exact_grad,10926,9,32778,32778,0,39,0.00118982,0.0134697,0.0225701,0.205765,1.58685,0.00990229,0.0142232,0.0793426,0.0193529,0.00681398,0.0290032,32739,0.0133144,0.0220203,0.0172172,0.00680519,0.0286967,0.759862,1.0941,32778,0.998861,10828,0,0.205765,0.166819,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,-1,0,0
